Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
"Leukoplakia is considered to be a premalignant or precancerous condition, as evidenced by a transformation potential of 4%.",TRUE,FALSE,,,Epithelial Pathology,,,,,
"A type of leukoplakia that presents with multiple white, corrugated plaques that impart a rough surface texture is termed ­­­­__________ leukoplakia.",Proliferative verrucous ,Thin,Thick,Granular,Epithelial Pathology,,,,,
The leukoplakia pattern that often presents with severe dysplasia at initial biopsy is __________ leukoplakia. ,Speckled ,Thick ,Granular,Proliferative verrucous ,Epithelial Pathology,,,,,
The microscopic appearance whereby dysplastic epithelial changes are noted to encompass the entire surface epithelium is termed,Carcinoma in situ,Mild epithelial dysplasia,Moderate epithelial dysplasia,Severe epithelial dysplasia,Epithelial Pathology,,,,,
A red patch of the oral cavity that cannot be diagnosed as any other entity is diagnosed as ,Erythroplakia,Leukoplakia,Verruciform leukoplakia ,Hyperkeratosis,Epithelial Pathology,,,,,
"The clinical effects of smokeless tobacco on the oral mucosa include hyperkeratosis and epithelial dysplasia, which appear rapidly following initial use.",FALSE,TRUE,,,Epithelial Pathology,Chemical/Physical Injury,,,,
"The red, punctate appearance of the palate in a patient with nicotine stomatitis is the result of ",Inflamed salivary duct orifices,Carcinoma in situ,Squamous cell carcinoma,Trauma induced by the chemicals in tobacco smoke,Epithelial Pathology,Chemical/Physical Injury,,,,
Why is excisional biopsy the treatment of choice for a large keratoacanthoma?,To provide for optimal esthetics,To make a comparison to normal surrounding tissue,To better visualize the appearance of individual cells,To examine for invasion into the underlying muscle layer,Epithelial Pathology,,,,,
Laser ablation for treatment of HPV lesions may potentially be hazardous due to,Aerosolized droplets of virus being liberated and inhaled,Incomplete removal of the lesion,Excessive traumatization to adjacent normal tissue,Prolonged healing time using this procedure,Epithelial Pathology,,,,,
A key histologic element in the diagnosis of multifocal epithelial hyperplasia not found in other HPV lesions consists of ,Mitosoid cells ,Prominent epithelial acanthosis,Elongated rete ridges,Papillary surface,Epithelial Pathology,,,,,
The most frequently occurring sinonasal papilloma is the ,Inverted,Fungiform ,Cylindrical cell,Septal,Epithelial Pathology,Head & Neck,,,,
Which sinonasal papilloma is associated with a risk of malignancy?,Inverted,Fungiform ,Cylindrical cell,Septal,Epithelial Pathology,Head & Neck,,,,
A verruciform xanthoma histologically consists of ,Lipid laden macrophages,Virally altered keratinocytes,Sebaceous glands,Adipose tissue,Epithelial Pathology,,,,,
An ephelis occurs as a result of ,Increased melanin deposition,Increased number of melanocytes,Melanoma,Altered keratinocytes ,Epithelial Pathology,Dermatologic,Pigmented ,,,
Actinic lentigo is a benign brown macule that is more often seen in young adults. ,FALSE,TRUE,,,Epithelial Pathology,,,,,
"Lentigo simplex, much like actinic lentigo, presents as a result of sun exposure.",FALSE,TRUE,,,Epithelial Pathology,,,,,
Squamous papillomas usually present as __________ lesions. ,Pedunculated,Broad based ,Sessile,Indurated,Epithelial Pathology,Viral,,,,
Virally altered cells found within the spinous epithelial cell layer of a squamous papilloma are referred to as ,Koilocytes,Mitosoid cells ,Giant cells,Sezary cells ,Epithelial Pathology,Viral,,,,
A verruca vulgaris can be spread to other parts of the body through the process of ,Autoinoculation,Viral migration,Papillomatosis,Transmigration,Epithelial Pathology,Viral,,,,
A Cutright lesion refers to ,An elevated nodule of osseous and chondromatous metaplasia in a denture wearer ,Redundant tissue of the maxillary anterior gingiva,A nodule of chondrosarcoma seen in a denture wearer,A nodule of osteosarcoma seen in a denture wearer ,Epithelial Pathology,Chemical/Physical Injury,,,,
"A lesion that commonly presents as a <0.5cm non-tender white  lesion on the  tongue, lip, and soft palate that is caused by HPV types 6 and 11 & is treated by excision is:",Squamous papilloma,Condyloma acuminatum,Heck disease,Verruciform Xanthoma,Epithelial Pathology,,,,,
"STD. HPV-induced proliferation of stratified squamous epithelium, which may involve the anogenital region, mouth, larynx. May be spread by autoinoculation.  Diagnosis?",Condyloma Acuminatum,Heck disease,Verruciform Xanthoma,Molluscum Contagiosum,Epithelial Pathology,,,,,
"A 28 year-old male presented with a 1.4 x 0.6 cm, pale, fleshy, papillary growth on the facial gingiva of tooth #17 is seen. Histologically, broad projections and thin connective tissue with keratin filled crypts between projections are noted. What would your diagnosis be?",Condyloma Acuminatum,Molluscum Contagiosum ,Squamous Papilloma ,Verruciform Xanthoma,Epithelial Pathology,,,,,
Which of the following indicated the probable development of oral squamous cell carcinoma?,Mucosal dysplasia >> Carcinoma-in-situ >> Invasive squamous cell carcinoma,Carcinoma-in-situ >> Mucosal dysplasia >> Invasive squamous cell carcinoma,Invasive squamous cell carcinoma >> Carcinoma-in-situ >> Mucosal dysplasia,Carcinoma-in-situ >> Invasive squamous cell carcinoma >> Mucosal dysplasia,Epithelial Pathology,,,,,
"“Leukoplakic,” as defined by most oral pathologists, is synonymous with which of the following?
",White patch,Red patch,Hyperkeratosis,Carcinoma-in-situ,Epithelial Pathology,,,,,
Which is the LEAST common site for the occurrence of oral squamous cell carcinoma?,Buccal mucosa,Lateral tongue,Ventral tongue,Floor of mouth,Epithelial Pathology,,,,,
"Of the following, which is the LEAST common site for the development of an oral squamous cell carcinoma?",Dorsal tongue,Soft palate,Lateral tongue,Ventral tongue,Epithelial Pathology,,,,,
"With regard to oral squamous cell carcinoma, which statement regarding the relationship of lesion size and invasion/metastasis is true? ",Smaller lesions = lower chance of invasion and metastasis,Larger lesions = better prognosis,No relationship between size and invasion,Smaller lesions = higher change of invasion and metastasis,Epithelial Pathology,Soft Tissue,,,,
The most common sites for erythroplakia include all EXCEPT,Buccal mucosa,Floor of mouth,Tongue,Soft palate,Epithelial Pathology,,,,,
All are associated with oral submucous fibrosis EXCEPT,Hypersalivation,Trismus,Petechiae,Melanosis,Epithelial Pathology,Chemical/Physical Injury,,,,
Most patients with proliferative verrucous leukoplakia eventually develop a verrucous carcinoma and a squamous cell carcinoma.,TRUE,FALSE,,,Epithelial Pathology,,,,,
Proliferative verrucous leukoplakia is not associated with tobacco use. ,True ,FALSE,,,Epithelial Pathology,,,,,
"A 65 year-old man presets with palpable fibrous bands in the underlying connective tissue of his oral mucosa. He complains of trismus, mucosal burning, and xerostomia. He has had a betel quid habit for the past 35 years, but recently has quit. Dense, avascular collagen is present, with chronic inflammation. ",He is 19x more likely to develop a squamous cell carcinoma than normal people,Cessation of the habit will resolve his symptoms,A chronic and progressive premalignant condition is present.,Submucosal changes are related to quitting his betel quid habit,Epithelial Pathology,,,,,
Erythroleukoplakia is a mix of red and white areas (speckled) within the erythroplakia.  ,TRUE,FALSE,,,Epithelial Pathology,,,,,
"In erythroplakia, 90% show moderate to severe dysplasia, carcinoma in situ, or carcinoma. ",TRUE,FALSE,,,Epithelial Pathology,,,,,
Frictional keratosis is malignant and a true leukoplakia. ,FALSE,TRUE,,,Epithelial Pathology,,,,,
Smokeless tobacco users may show all EXCEPT,Risk of carcinoma 40x greater than non-users,Gingival recession,Increased incidence of caries,Resolution of a lesion within 2-6 weeks,Epithelial Pathology,Chemical/Physical Injury,,,,
The incidence of leukoplakia increases with age.,TRUE,FALSE,,,Epithelial Pathology,,,,,
Leukoplakia is considered premalignant since it is associated with a greater than normal risk of malignant transformations. ,True ,FALSE,,,Epithelial Pathology,,,,,
"A 67 year-old man presents with indurated, painless, hard lesion of the lip. He smokes 2 packs per day, and drinks hard liquor throughout the day. Head and neck evaluation results show ipsilateral, enlarged, non-tender, fixed cervical nodes. Microscopic evaluation: poorly differentiated oral carcinoma, stage III. His prognosis is",Overall 5-year survival at 28%,Overall 5-year survival at 48%,Overall 5-year survival at 58%,Overall 5-year survival at 78%,Epithelial Pathology,,,,,
Squamous cell carcinoma in the oral cavity is most commonly seen in the floor of the mouth. ,False ,TRUE,,,Epithelial Pathology,,,,,
Microscopic features of squamous cell carcinoma include all EXCEPT,Bland histopathology,"Variation in nuclear size, shape, and staining",Invasive islands of epithelium,Nuclear and cellular pleomorphism,Epithelial Pathology,,,,,
"58 year-old male presents with painless white lesion that does not wipe off with 2x2 gauze. Biopsy reveals bland histopathology, wide, elongated, downward proliferating rete ridges. Abundant keratin forming spires are filling the spaces between projections. Radiographs show normal bone. The diagnosis is",Verrucous carcinoma,Nasopharyngeal carcinoma,Basal cell carcinoma,Superficial spreading melanoma,Epithelial Pathology,Pain,,,,
Possible causes of leukoplakia include all EXCEPT,Microorganisms,Tobacco,Sanguinaria,Alcohol,Epithelial Pathology,,,,,
What is the most common type of oral cavity cancer?,Squamous cell carcinoma,Basal cell carcinoma,Merkel cell carcinoma,Melanoma,Epithelial Pathology,,,,,
What is the most common site of oral cavity squamous cell carcinoma?,Tongue,Soft palate,Gingiva,Alveolar ridge ,Epithelial Pathology,,,,,
Oral cancer most commonly affects,Men 65+,Women 65+,Women and men equally,Women younger than 65,Epithelial Pathology,,,,,
"A 5 year-old male presents with clusters of multiple soft, pink, painless, rounded papules with a pebbly surface. Histologically koilocytes and “mitosoid”  are seen cells. The most likely diagnosis is: ",Focal epithelial hyperplasia ,Verruciform xanthoma,Molluscum contagiosum,Condyloma acuminatum,Epithelial Pathology,Pain,,,,
Dysplasia has an increased number of mitotic figures and abrnormal mitoses. ,True ,FALSE,,,Epithelial Pathology,,,,,
"A less than 2cm  lesion associated with an accumulation of lipid-laden histiocytes, which can affect the mouth, skin, or genitalia occuring mostly in whites with a female predilection is: ",Verruciform xanthoma,Sebaceous hyperplasia,Molluscum contagiosum,Condyloma acuminatum,Epithelial Pathology,,,,,
"The lower lip in a male patient is thicker than normal, and there are white discolorations of the vermilion surface as well as loss of definition of the border. The most likely diagnosis on history alone is:",Actinic cheilitis ,Smoker’s melanosis,Sarcoidosis,Perioral dermatitis ,Epithelial Pathology,Dermatologic,,,,
55 year-old male who drinks & smokes excessively presents with painless mass on posterior lateral surface of tongue. The most likely diagnosis on history alone is:,Squamous cell carcinoma,Basal cell carcinoma,Merkel cell carcinoma,Verrucous carcinoma ,Epithelial Pathology,,,,,
"Dilated, unicystic structure lined by a single or double layer of cuboidal or columnar cells with multiple papillary projections into the cyst lumen. ",Intraductal papilloma,Divergent papilloma,Inverted papilloma,Sialadenoma papilliferum,Epithelial Pathology,,,,,
"Rate tumor seen ONLY in minor salivary glands. A submucosal nodule with/without a central pit. Histologically:  a ductal lumen with multiple bullous and thick papillary projections, which may connect with the surface. ",Inverted papilloma,Divergent papilloma,Sialadenoma papilliferum,Intraductal papilloma,Epithelial Pathology,,,,,
The risk of oral cancer ,Increases with age,Decreases with age,Is greater in American Indians,Is greater in females,Epithelial Pathology,,,,,
The greatest risk factor for oral cancer is,Smoking tobacco, Iron deficiency,Smokeless tobacco use,Candidal infection,Epithelial Pathology,,,,,
The most common intro oral site for squamous cell carcinoma is, Tongue, Tonsillar pillars,Palate, Labial vestibule,Epithelial Pathology,,,,,
 A low-grade oral carcinoma common older male snuff dippers is, Verrucous carcinoma,Papillary squamous cell carcinoma, Basal cell carcinoma, Adenosquamous carcinoma,Epithelial Pathology,,,,,
A pedunculated mass with elongated white surface projections described,Squamous papilloma,Seborrheic keratosis,Leukoplakia,Ephelis ,Epithelial Pathology,,,,,
